"Order_ID","Buyer_ID","Supplier_ID","Product_Category","Quantity_Ordered","Order_Date","Dispatch_Date","Delivery_Date","Shipping_Mode","Order_Value_USD","Delay_Days","Disruption_Type","Disruption_Severity","Supply_Risk_Flag","order_month","Days_Until_Delivered","Days_Until_Dispatch","Actual_Transit_Days","Order_Quarter","On_Time_Flag"
"O1000","B33","S23","Textiles",469,2023-10-24,2023-10-27,2023-10-28,"Rail",36273.99,0,"None","None",0,"2023-10",4,3,1,"Q4",1
"O1001","B1","S20","Machinery",365,2023-07-07,2023-07-08,2023-07-09,"Road",34780.36,0,"None","None",0,"2023-07",2,1,1,"Q3",1
"O1002","B2","S10","Food",333,2023-12-28,2023-12-29,2024-01-07,"Rail",7154.54,7,"Shortage","Low",1,"2023-12",10,1,9,"Q4",0
"O1003","B6","S10","Machinery",142,2023-01-14,2023-01-17,2023-01-20,"Rail",15320.08,0,"None","None",0,"2023-01",6,3,3,"Q1",1
"O1004","B5","S4","Machinery",897,2023-01-12,2023-01-14,2023-01-16,"Road",18256.42,0,"None","None",0,"2023-01",4,2,2,"Q1",1
"O1005","B9","S11","Pharma",814,2023-03-28,2023-03-30,2023-04-08,"Rail",40319.64,0,"None","None",0,"2023-03",11,2,9,"Q1",1
"O1006","B34","S30","Food",849,2023-01-12,2023-01-14,2023-01-23,"Road",14298.61,0,"None","None",0,"2023-01",11,2,9,"Q1",1
"O1007","B7","S30","Food",136,2023-01-25,2023-01-27,2023-02-05,"Air",10929.9,0,"None","None",0,"2023-01",11,2,9,"Q1",1
"O1008","B16","S24","Food",115,2023-10-28,2023-10-29,2023-11-07,"Sea",47893.68,0,"None","None",0,"2023-10",10,1,9,"Q4",1
"O1009","B26","S13","Machinery",613,2023-08-31,2023-09-01,2023-09-10,"Sea",938.73,1,"Shortage","High",1,"2023-08",10,1,9,"Q3",0
"O1010","B30","S25","Textiles",808,2023-05-02,2023-05-05,2023-05-08,"Rail",49892.13,0,"None","None",0,"2023-05",6,3,3,"Q2",1
"O1011","B30","S14","Food",387,2023-05-27,2023-05-31,2023-06-05,"Rail",34002.65,0,"None","None",0,"2023-05",9,4,5,"Q2",1
"O1012","B42","S3","Machinery",914,2023-02-24,2023-02-28,2023-03-07,"Rail",41509.23,0,"None","None",0,"2023-02",11,4,7,"Q1",1
